requirement,status,units,code,verifications,delegatedTo,provenance
REQ-PRR-001,implemented,FU-GITHUB-WEBHOOK-INGRESS,webhook_ingress.go:17,VER-INF-E2E-PR_OPENED_REVIEW_FLOW-6BF0B5,,
REQ-PRR-002,implemented,FU-GITHUB-WEBHOOK-INGRESS FU-PR-CONTEXT-ASSEMBLY,pr_context_assembly.ts:9 pr_context_assembly.ts:13 webhook_ingress.go:28,VER-INF-E2E-PR_OPENED_REVIEW_FLOW-6BF0B5,,
REQ-PRR-003,implemented,FU-REVIEW-ORCHESTRATION,pr_context_assembly.ts:20 review_orchestrator.rs:11,VER-INF-E2E-PR_OPENED_REVIEW_FLOW-6BF0B5,,
REQ-PRR-004,implemented,FU-POLICY-CHECKS,policy_checks.rs:7,VER-INF-INTEGRATION-POLICY_ONLY_FALLBACK_TEST-76E20A,,
REQ-PRR-005,implemented,FU-REVIEW-PUBLICATION,review_publication.ts:9 review_publication.ts:13,VER-INF-E2E-PR_OPENED_REVIEW_FLOW-6BF0B5 VER-INF-TEST-GITHUB_CHECK_RUN_CONTRACT_TEST-17DBA6,,
REQ-PRR-006,implemented,FU-POLICY-CHECKS FU-REVIEW-ORCHESTRATION FU-REVIEW-PUBLICATION,review_orchestrator.rs:22 policy_checks.rs:21,VER-INF-INTEGRATION-POLICY_ONLY_FALLBACK_TEST-76E20A,,
REQ-PRR-007,implemented,FU-REVIEW-PUBLICATION FU-SECRETS-CONFIGURATION,review_publication.ts:9 secrets_configuration.ts:7 secrets_configuration.ts:10 review_publication.ts:27,VER-INF-INTEGRATION-AUDIT_REDACTION_TEST-B108A1,,
REQ-PRR-008,implemented,FU-GITHUB-WEBHOOK-INGRESS FU-REVIEW-PUBLICATION,review_publication.ts:9 review_publication.ts:33,VER-INF-UNIT-RATE_LIMIT_DEFERRAL_TEST-DC9EB2,,
REQ-PRR-009,orphan,FU-REVIEW-PUBLICATION,,,,
REQ-PRR-010,orphan,FU-GITHUB-WEBHOOK-INGRESS FU-REVIEW-PUBLICATION,,,,
REQ-PRR-011,implemented,FU-LAMBDA-RUNTIME-OPERATIONS,lambda_runtime_ops.go:10,,,
