requirement,status,units,code,verifications,delegatedTo,provenance
REQ-EMG-001,implemented,FU-ASCIIDOC-GENERATOR FU-CLI-ORCHESTRATION FU-MODEL-LOADER FU-OSCAL-EXPORTER FU-STRUCTURIZR-EXPORTER FU-THREAT-EXPORTER FU-VALIDATION-ENGINE,validate/validate.go:284 model/types.go:6 model/load.go:246 ears_preflight.go:120 model/load.go:266 validate/validate.go:1391 generate.go:39 asciidoc.go:53 asciidoc.go:31 generate.go:25 oscal_ar.go:133 oscal_ar.go:106 oscal_poam.go:90 oscal_poam.go:76 oscal_ssp.go:211 oscal_ssp.go:197 structurizr_export.go:143 structurizr_export.go:129 threat_model_export.go:49 threat_model_export.go:35 validate/diagnostic.go:57 ears_preflight.go:158 ears_preflight.go:15 model/load.go:43 model/load.go:229 model/load.go:211 cmd/engdoc/main.go:37 cmd/engview/main.go:18 ears_preflight.go:144 validate/validate.go:1291 cmd/engdoc/main.go:95 cmd/engview/main.go:98 cmd/engview/main.go:62 ears_preflight.go:167 validate/diagnostic.go:24 catalog_systems_test.go:82 validate/validate_test.go:410 validate/validate_test.go:158 validate/validate_test.go:205 validate/validate_test.go:379 validate/validate_test.go:353 validate/validate_test.go:23 validate/validate_test.go:455 validate/validate_test.go:614 validate/validate_test.go:510 validate/validate_test.go:253 catalog_systems_test.go:36 e2e_test.go:39 e2e_test.go:14 ears_preflight_test.go:105 ears_preflight_test.go:60 ears_preflight_test.go:11 catalog_systems_test.go:11 validate/validate_test.go:121 ears_preflight.go:73 ears_preflight.go:91 ears_preflight.go:106 catalog_description_validation.go:14,VER-INF-TEST-CATALOG_SYSTEMS_TEST-6807D7 VER-INF-TEST-E2E_TEST-BE56F8 VER-INF-TEST-EARS_PREFLIGHT_TEST-1ABE26 VER-INF-TEST-VALIDATE_TEST-498C59,,
REQ-EMG-003,implemented,FU-ASCIIDOC-GENERATOR FU-CLI-ORCHESTRATION FU-VIEW-PROJECTION,asciidoc_design_refs.go:389 asciidoc_diagrams_core.go:1247 asciidoc_views.go:849 asciidoc_diagrams_core.go:16 asciidoc_backlinks.go:18 asciidoc_linking_units.go:630 view/project.go:38 asciidoc_design_refs.go:274 asciidoc_diagrams_core.go:919 asciidoc_diagrams_core.go:827 asciidoc_design_refs.go:441 asciidoc_diagrams_runtime.go:215 asciidoc_diagrams_runtime.go:105 asciidoc_design_refs.go:55 asciidoc_diagrams_core.go:396 asciidoc_diagrams_core.go:164 asciidoc_diagrams_core.go:275 asciidoc_diagrams_core.go:466 asciidoc_diagrams_core.go:296 asciidoc_views.go:460 view/project.go:156 view/project.go:394 asciidoc_design_refs.go:105 asciidoc_linking_units.go:24 asciidoc_linking_units.go:714 asciidoc_diagrams_runtime.go:590 asciidoc_diagrams_runtime.go:530 asciidoc_design_refs.go:169 asciidoc_diagrams_core.go:51 asciidoc_diagrams_core.go:22 asciidoc_diagrams_core.go:663 asciidoc_diagrams_runtime.go:74 asciidoc_diagrams_runtime.go:14 asciidoc_design_refs.go:400 asciidoc_views.go:311 asciidoc_diagrams_runtime.go:762 asciidoc_diagrams_runtime.go:872 asciidoc_views.go:753 asciidoc_views.go:783 asciidoc_diagrams_runtime.go:1130 asciidoc_diagrams_runtime.go:662 asciidoc_diagrams_runtime.go:613 asciidoc_views.go:655 asciidoc_views.go:724 asciidoc_views.go:689 asciidoc_views.go:582 asciidoc_design_refs.go:527 asciidoc_design_refs.go:488 asciidoc_design_refs.go:568 asciidoc_design_refs.go:361 asciidoc_diagrams_core.go:1178 asciidoc_diagrams_core.go:1057 asciidoc_diagrams_core.go:1133 asciidoc_diagrams_core.go:1012 asciidoc_diagrams_core.go:1044 asciidoc_diagrams_core.go:1039 asciidoc_diagrams_core.go:1000 render/mermaid/render.go:323 asciidoc_diagrams_runtime.go:515 asciidoc_design_refs.go:84 view/types.go:16 render/mermaid/render.go:313 render/mermaid/render.go:297 asciidoc_diagrams_core.go:819 asciidoc_diagrams_core.go:156 view/project.go:236 asciidoc_diagrams_core.go:265 generate.go:39 asciidoc.go:53 asciidoc.go:31 generate.go:25 asciidoc_diagrams_core.go:1079 asciidoc_diagrams_core.go:1104 view/project.go:15 asciidoc_views.go:178 asciidoc_diagrams_core.go:1238 asciidoc_views.go:859 asciidoc_views.go:878 asciidoc_diagrams_core.go:147 asciidoc_diagrams_core.go:642 asciidoc_diagrams_core.go:652 view/project.go:307 asciidoc_views.go:887 asciidoc_diagrams_core.go:1275 asciidoc_linking_units.go:100 asciidoc_linking_units.go:209 asciidoc_linking_units.go:666 asciidoc_linking_units.go:646 asciidoc_linking_units.go:656 asciidoc_linking_units.go:686 asciidoc_linking_units.go:676 cmd/engdoc/main.go:37 cmd/engview/main.go:18 asciidoc_design_refs.go:14 asciidoc_design_refs.go:24 view/project.go:313 render/diagramstyle/mermaid.go:33 render/diagramstyle/mermaid.go:53 render/diagramstyle/mermaid.go:39 render/mermaid/render.go:285 asciidoc_diagrams_runtime.go:1095 asciidoc_diagrams_runtime.go:1124 asciidoc_diagrams_core.go:1260 view/types.go:6 view/project.go:329 asciidoc_design_refs.go:97 view/project.go:588 asciidoc_views.go:484 asciidoc_views.go:493 asciidoc_diagrams_core.go:1208 asciidoc_linking_units.go:278 asciidoc_linking_units.go:288 cmd/engview/main.go:98 view/types.go:28 asciidoc_design_refs.go:163 asciidoc_test.go:531 render/mermaid/render.go:39 asciidoc_views.go:29 cmd/engview/main.go:62 asciidoc_template.go:453 asciidoc_views.go:44 asciidoc_views.go:109 asciidoc_views.go:99 asciidoc_linking_units.go:470 asciidoc_views.go:75 render/mermaid/render.go:248 asciidoc_views.go:59 asciidoc_views.go:14 asciidoc_linking_units.go:393 asciidoc_views.go:141 view/project.go:345 asciidoc_diagrams_runtime.go:91 asciidoc_diagrams_core.go:809 asciidoc_linking_units.go:767 asciidoc_test.go:517 asciidoc_views.go:839 asciidoc_diagrams_runtime.go:1050 asciidoc_diagrams_runtime.go:970 asciidoc_diagrams_runtime.go:1060 asciidoc_views.go:825 cmd/engdoc/main.go:26 view/project.go:380 asciidoc_diagrams_core.go:1289 asciidoc_diagrams_core.go:977 asciidoc_linking_units.go:254 render/mermaid/render.go:207 render/mermaid/render.go:195 view/project.go:597 asciidoc_diagrams_core.go:1187 cmd/engdoc/main.go:20 view/project_test.go:11 asciidoc_diagrams_runtime_test.go:12 asciidoc_diagrams_core_test.go:14 asciidoc_diagrams_core_test.go:41 asciidoc_diagrams_core_test.go:223 asciidoc_diagrams_core_test.go:161 asciidoc_diagrams_core_test.go:197 asciidoc_diagrams_core_test.go:135 view/project_test.go:168 view/project_test.go:86 view/project_test.go:137 asciidoc_linking_units_test.go:75 asciidoc_linking_units_test.go:10 asciidoc_diagrams_core_test.go:327 asciidoc_diagrams_core_test.go:293 asciidoc_diagrams_runtime_test.go:50 asciidoc_views_test.go:11 asciidoc_diagrams_runtime_test.go:95 asciidoc_diagrams_runtime_test.go:72 view/project_test.go:52 asciidoc_diagrams_core_test.go:254 asciidoc_test.go:16 asciidoc_test.go:546 asciidoc_test.go:372 asciidoc_test.go:314 asciidoc_diagrams_core_test.go:273 asciidoc_linking_units_test.go:46 asciidoc_linking_units_test.go:129 asciidoc_linking_units_test.go:186 asciidoc_linking_units_test.go:167 asciidoc_linking_units_test.go:148 asciidoc_linking_units_test.go:101 asciidoc_diagrams_core_test.go:355 asciidoc_diagrams_core_test.go:383 render/mermaid/render_test.go:12 asciidoc_linking_units.go:309 asciidoc_linking_units.go:328 asciidoc_linking_units.go:355 view/project.go:247 asciidoc_diagrams_core.go:1301 asciidoc_linking_units.go:696 asciidoc_linking_units.go:426 asciidoc_linking_units.go:410 asciidoc_linking_units.go:505 asciidoc_linking_units.go:569 asciidoc_linking_units.go:536 asciidoc_linking_units.go:442 asciidoc_linking_units.go:600 asciidoc_views.go:522 asciidoc_views.go:251 asciidoc_views.go:282 asciidoc_design_refs.go:34 asciidoc_views.go:118 asciidoc_views.go:502 asciidoc_views.go:538 asciidoc_views.go:200 asciidoc_views.go:434,VER-INF-TEST-ASCIIDOC_DIAGRAMS_CORE_TEST-3FAC84 VER-INF-TEST-ASCIIDOC_DIAGRAMS_RUNTIME_TEST-A8483D VER-INF-TEST-ASCIIDOC_LINKING_UNITS_TEST-22FDE2 VER-INF-TEST-ASCIIDOC_TEST-F60765 VER-INF-TEST-ASCIIDOC_VIEWS_TEST-BFC7F2 VER-INF-TEST-PROJECT_TEST-2ECF72 VER-INF-TEST-RENDER_TEST-EECC23,,
REQ-EMG-004,implemented,FU-CLI-ORCHESTRATION FU-THREAT-EXPORTER,threat_model_export.go:580 threat_model_export.go:148 threat_model_export.go:832 threat_model_export.go:49 threat_model_export.go:35 cmd/engdragon/main.go:16 threat_model_export.go:804 cmd/engdragon/main.go:51 threat_model_export.go:817 threat_model_export.go:449 threat_model_export.go:421 threat_model_export.go:438 threat_model_export_test.go:97 threat_model_export_test.go:17 threat_model_export_test.go:54 threat_model_export_test.go:116,VER-INF-TEST-THREAT_MODEL_EXPORT_TEST-721A8D,,
REQ-EMG-005,implemented,FU-CLI-ORCHESTRATION FU-STRUCTURIZR-EXPORTER,structurizr_export.go:467 structurizr_export.go:304 structurizr_export.go:345 structurizr_export.go:418 structurizr_export.go:768 structurizr_export.go:752 structurizr_export.go:440 structurizr_export.go:695 structurizr_export.go:495 structurizr_export.go:503 structurizr_export.go:143 structurizr_export.go:129 cmd/engstruct/main.go:16 structurizr_export.go:714 cmd/engstruct/main.go:50 structurizr_export.go:456 structurizr_export.go:521 structurizr_export.go:705 structurizr_export.go:556 structurizr_export.go:607 structurizr_export.go:671 structurizr_export.go:663 structurizr_export.go:647 structurizr_export.go:655 structurizr_export.go:615 structurizr_export.go:623 structurizr_export.go:639 structurizr_export.go:591 structurizr_export.go:631 structurizr_export.go:687 structurizr_export.go:679 structurizr_export.go:490 structurizr_export_test.go:40 structurizr_export_test.go:14 structurizr_export.go:536,VER-INF-TEST-STRUCTURIZR_EXPORT_TEST-886374,,
REQ-EMG-006,implemented,FU-CLI-ORCHESTRATION FU-LOBSTER-EXPORTER FU-TRLC-EXPORTER,trlc_export.go:125 lobster_export.go:176 lobster_export.go:70 trlc_export.go:76 trlc_export.go:58 cmd/englobster/main.go:16 cmd/engtrlc/main.go:16 trlc_export.go:135 trlc_export.go:174 trlc_export_test.go:44 lobster_export_test.go:13 lobster_export_test.go:62 trlc_export_test.go:13 trlc_export.go:185,VER-INF-TEST-LOBSTER_EXPORT_TEST-1C1C7E VER-INF-TEST-TRLC_EXPORT_TEST-DD1345,,
REQ-EMG-007,implemented,FU-MCP-SERVER,mcp/server_test.go:280 mcp/server_test.go:364 mcp/server.go:433 mcp/composition_test.go:133 mcp/server_test.go:674 mcp/server.go:1554 mcp/server.go:2016 mcp/server_test.go:354 mcp/server.go:2139 mcp/server.go:2165 mcp/server.go:264 mcp/server.go:1033 mcp/server.go:1010 mcp/server.go:1001 mcp/server.go:1414 mcp/server.go:2001 mcp/server.go:1075 mcp/server.go:909 mcp/server.go:1174 mcp/server.go:937 mcp/server.go:1245 mcp/server.go:1368 mcp/server.go:1377 mcp/server.go:1399 mcp/server.go:1329 mcp/server.go:1427 mcp/server.go:1724 mcp/server.go:231 mcp/server.go:1793 mcp/server.go:1650 mcp/server.go:1641 mcp/server_test.go:652 mcp/server.go:1809 mcp/server.go:1783 mcp/server.go:1800 mcp/server.go:339 cmd/engmcp/main.go:21 mcp/server.go:1290 mcp/server.go:1823 mcp/server.go:1837 mcp/server.go:1958 mcp/server.go:1965 mcp/server.go:139 mcp/server.go:1461 mcp/server.go:1490 cmd/engmcp/main.go:53 mcp/server.go:1301 mcp/server.go:1115 mcp/server.go:923 mcp/server.go:1597 mcp/server.go:1091 mcp/server_test.go:336 mcp/server.go:1528 mcp/server.go:1675 mcp/server.go:2185 mcp/server.go:2155 mcp/server.go:1355 mcp/server.go:1255 mcp/server.go:1613 mcp/server.go:2088 mcp/server.go:1692 mcp/server.go:1447 mcp/server_test.go:606 mcp/server_test.go:560 mcp/server_test.go:126 mcp/server_test.go:463 mcp/server_test.go:516 mcp/server_test.go:151 cmd/engmcp/main_test.go:12 cmd/engmcp/main_test.go:22 mcp/server.go:1666 mcp/server.go:1657 mcp/server_test.go:239 mcp/server_test.go:197 mcp/server_test.go:14 mcp/server.go:971 mcp/server.go:220 mcp/server.go:2123 mcp/server.go:1144 cmd/engmcp/main.go:89,VER-INF-TEST-COMPOSITION_TEST-AB66B8 VER-INF-TEST-MAIN_TEST-6B61AE VER-INF-TEST-SERVER_TEST-389957,,
REQ-EMG-008,implemented,FU-MCP-SERVER,mcp/server_test.go:280 mcp/server_test.go:364 mcp/server.go:2258 mcp/server_test.go:674 mcp/server.go:2461 mcp/server_test.go:354 mcp/server.go:2246 mcp/server.go:2414 mcp/server.go:2392 mcp/server.go:2308 mcp/server_test.go:652 mcp/server.go:2473 cmd/engmcp/main.go:21 mcp/server.go:139 mcp/server.go:2428 mcp/server.go:2278 cmd/engmcp/main.go:53 mcp/server.go:2504 mcp/server.go:2519 mcp/server.go:2219 mcp/server_test.go:336 mcp/server_test.go:606 mcp/server_test.go:560 mcp/server_test.go:126 mcp/server_test.go:463 mcp/server_test.go:516 mcp/server_test.go:151 cmd/engmcp/main_test.go:12 cmd/engmcp/main_test.go:22 mcp/server_test.go:239 mcp/server_test.go:197 mcp/server_test.go:14 mcp/server.go:220 mcp/server.go:2438 mcp/server.go:2445 mcp/server.go:2484 cmd/engmcp/main.go:89,VER-INF-TEST-MAIN_TEST-6B61AE VER-INF-TEST-SERVER_TEST-389957,,
REQ-EMG-009,implemented,FU-CLI-ORCHESTRATION FU-VALIDATION-ENGINE,validate/validate.go:284 ears_preflight.go:120 validate/validate.go:1391 validate/diagnostic.go:57 ears_preflight.go:158 ears_preflight.go:15 cmd/engdoc/main.go:37 ears_preflight.go:144 validate/validate.go:1291 cmd/engdoc/main.go:95 ears_preflight.go:167 validate/diagnostic.go:24 validate/validate_test.go:410 validate/validate_test.go:158 validate/validate_test.go:205 validate/validate_test.go:379 validate/validate_test.go:353 validate/validate_test.go:23 validate/validate_test.go:455 validate/validate_test.go:614 validate/validate_test.go:510 validate/validate_test.go:253 ears_preflight_test.go:105 ears_preflight_test.go:60 ears_preflight_test.go:11 validate/validate_test.go:121 ears_preflight.go:73 ears_preflight.go:91 ears_preflight.go:106 catalog_description_validation.go:14,VER-INF-TEST-EARS_PREFLIGHT_TEST-1ABE26 VER-INF-TEST-VALIDATE_TEST-498C59,,
REQ-EMG-010,implemented,FU-CODEMAP-INFERENCE,inferred_verification.go:939 inferred_verification.go:916 inferred_verification.go:930 codemap/scan.go:533 inferred_verification.go:462 inferred_verification.go:506 codemap/scan.go:417 inferred_layers.go:368 inferred_code.go:330 codemap/scan.go:284 inferred_layers.go:648 inferred_layers.go:663 inferred_verification.go:447 inferred_verification.go:869 inferred_verification.go:880 inferred_verification_test.go:216 codemap/scan.go:469 inferred_layers.go:325 inferred_code.go:202 inferred_code.go:22 inferred_layers.go:340 inferred_layers.go:277 inferred_layers.go:384 inferred_verification.go:584 inferred_verification.go:627 inferred_layers.go:55 inferred_verification.go:49 codemap/scan.go:527 codemap/scan.go:518 inferred_layers.go:355 inferred_verification.go:568 codemap/scan.go:503 codemap/scan.go:481 inferred_verification.go:950 inferred_layers.go:46 inferred_layers.go:451 inferred_layers.go:430 inferred_layers.go:580 inferred_verification.go:722 inferred_layers.go:253 inferred_verification.go:800 inferred_code.go:351 inferred_verification.go:617 inferred_code.go:140 inferred_code.go:171 inferred_layers.go:502 inferred_verification.go:394 inferred_verification.go:429 inferred_verification.go:356 inferred_code.go:254 inferred_layers.go:144 inferred_layers.go:214 inferred_code.go:221 inferred_verification.go:319 inferred_layers.go:601 inferred_verification.go:597 inferred_layers.go:300 inferred_layers.go:636 codemap/scan.go:67 inferred_code.go:280 codemap/scan.go:120 inferred_verification.go:813 inferred_code.go:135 codemap/scan.go:545 codemap/scan.go:490 inferred_verification.go:747 codemap/scan.go:262 inferred_code_test.go:37 inferred_verification_test.go:192 inferred_verification_test.go:13 inferred_verification_test.go:133 inferred_verification_test.go:26 inferred_verification_test.go:64 inferred_verification_test.go:100 inferred_layers_test.go:13 inferred_layers_test.go:84 inferred_layers_test.go:58 inferred_layers_test.go:21 inferred_layers_test.go:118 inferred_layers_test.go:40 codemap/scan_test.go:11 codemap/scan_test.go:147 codemap/scan_test.go:111 inferred_code_test.go:11 codemap/scan_test.go:48 codemap/scan_test.go:226 codemap/scan_test.go:73 codemap/scan_test.go:181 inferred_layers.go:412 codemap/scan.go:355 inferred_verification.go:644 inferred_verification.go:900 codemap/scan.go:513 inferred_verification.go:548 inferred_verification.go:848 inferred_verification.go:777 inferred_verification.go:703 inferred_verification.go:667 inferred_verification.go:685 inferred_verification.go:969,VER-INF-TEST-INFERRED_CODE_TEST-3CA82E VER-INF-TEST-INFERRED_LAYERS_TEST-6634AF VER-INF-TEST-INFERRED_VERIFICATION_TEST-6715F6 VER-INF-TEST-SCAN_TEST-B04F81,,
REQ-EMG-011,implemented,FU-STRUCTURIZR-EXPORTER FU-THREAT-EXPORTER FU-VALIDATION-ENGINE,threat_model_export.go:580 threat_model_export.go:148 validate/validate.go:284 threat_model_export.go:832 validate/validate.go:1391 threat_model_export.go:49 threat_model_export.go:35 validate/diagnostic.go:57 cmd/engdragon/main.go:16 validate/validate.go:1291 threat_model_export.go:804 cmd/engdragon/main.go:51 threat_model_export.go:817 validate/diagnostic.go:24 threat_model_export.go:449 threat_model_export.go:421 threat_model_export.go:438 validate/validate_test.go:410 validate/validate_test.go:158 validate/validate_test.go:205 validate/validate_test.go:379 validate/validate_test.go:353 validate/validate_test.go:23 validate/validate_test.go:455 validate/validate_test.go:614 validate/validate_test.go:510 validate/validate_test.go:253 threat_model_export_test.go:97 threat_model_export_test.go:17 threat_model_export_test.go:54 validate/validate_test.go:121 threat_model_export_test.go:116,VER-INF-TEST-THREAT_MODEL_EXPORT_TEST-721A8D VER-INF-TEST-VALIDATE_TEST-498C59,,
